config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec,control,mrmc_relation_uses,mrmc_maximin_selections,mrmc_random_selections,mrmc_terminal_memory_peak,mrmc_persistent_guidance_uses,mrmc_sparse_guidance_uses,mrmc_working_memory_peak,mrmc_evidence_observed,mrmc_working_additions,mrmc_working_promotions
RMC-NoTrajectoryEvidence,14,1,20,4,2880851931,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399979,109.036,no_trajectory_evidence,37,45,1,8,43,8,0,0,0,0
RMC-NoTrajectoryEvidence,14,1,20,5,3820371101,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399959,112.799,no_trajectory_evidence,41,45,1,4,0,4,0,0,0,0
RMC-NoTrajectoryEvidence,14,1,20,6,2728520348,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,3,399951,114.88,no_trajectory_evidence,39,50,1,11,38,11,0,0,0,0
RMC-NoTrajectoryEvidence,14,1,20,7,2876809346,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,3,399963,108.52,no_trajectory_evidence,16,50,1,21,29,20,0,0,0,0
RMC-NoTrajectoryEvidence,14,1,20,8,4252367854,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399961,116.273,no_trajectory_evidence,44,50,1,6,26,6,0,0,0,0
RMC-NoTrajectoryEvidence,14,1,20,9,2572916736,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399973,114.4,no_trajectory_evidence,44,46,1,2,15,2,0,0,0,0
RMC-NoRelations,10,1,20,7,4176439215,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399931,6457.714,no_relations,0,239,1,191,238,5,3,74640,3,0
RMC-NoTrajectoryEvidence,14,1,20,10,3875540033,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399959,100.079,no_trajectory_evidence,44,46,1,2,0,2,0,0,0,0
RMC-NoTerminalMemory,10,1,20,4,253359342,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399942,5451.215,no_terminal_memory,299,292,11,0,0,0,6,74620,6,0
RMC-NoMaximin,6,1,20,9,1353101125,1.0,0.1,0.18181818181818182,0.14090909090909093,1.0,2,399956,8962.989,no_maximin,217,0,221,165,219,3,22,73650,22,0
RMC-NoRelations,10,1,20,6,279444466,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399940,9666.395,no_relations,0,193,13,197,203,1,4,74545,4,0
RMC-NoRelations,10,1,20,2,3080307965,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399940,9835.767,no_relations,0,188,33,212,217,1,4,74550,4,0
RMC-NoRelations,10,1,20,1,3041133044,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399927,10763.568,no_relations,0,213,44,234,253,1,6,74080,6,0
RMC-NoRelations,10,1,20,10,3149227647,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399934,10878.358,no_relations,0,208,25,213,230,1,16,74130,16,0
RMC-NoRelations,10,1,20,3,1544670583,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399945,12479.399,no_relations,0,187,71,245,255,1,4,74210,4,0
RMC-NoTerminalMemory,10,1,20,7,4176439215,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399951,10314.633,no_terminal_memory,248,205,47,0,0,0,6,74200,6,0
