config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec
RMC-LadderMaximin,1,1,20,4,409577597,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399941,145.75
RMC-LadderMaximin,1,1,20,5,1950732293,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399942,153.056
RMC-LadderMaximin,6,1,20,1,2087795920,1.0,0.25,0.4,0.325,1.0,5,399946,125.11
RMC-LadderMaximin,6,1,20,2,4027479527,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399950,124.73
RMC-LadderMaximin,6,1,20,3,3248997195,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399946,123.529
RMC-LadderMaximin,10,1,20,2,3080307965,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399947,84.68
RMC-LadderMaximin,6,1,20,5,2548412932,1.0,0.25,0.4,0.325,1.0,5,399949,124.736
RMC-LadderMaximin,6,1,20,4,149845851,1.0,0.45,0.6206896551724138,0.5353448275862069,1.0,9,399940,128.382
RMC-NoState,10,1,20,3,1544670583,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399950,621.125
RMC-LadderMaximin,10,1,20,3,1544670583,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399954,85.146
RMC-LadderMaximin,10,1,20,5,3875162692,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399960,87.611
RMC-LadderMaximin,14,1,20,1,1021354410,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399959,81.137
RMC-LadderMaximin,14,1,20,2,2289296825,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,3,399963,80.436
RMC-LadderMaximin,14,1,20,3,1098493118,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399959,83.24
RMC-LadderMaximin,14,1,20,4,2880851931,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399963,81.158
RMC-LadderMaximin,14,1,20,5,3820371101,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399959,80.928
RMC-LadderRelations,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399926,160.318
RMC-LadderRelations,1,1,20,2,2220656915,1.0,0.75,0.8571428571428571,0.8035714285714286,1.0,15,399926,148.976
RMC-LadderRelations,1,1,20,3,3239354781,1.0,0.75,0.8571428571428571,0.8035714285714286,1.0,15,399943,153.252
RMC-LadderRelations,1,1,20,5,1950732293,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399926,156.16
RMC-LadderRelations,1,1,20,4,409577597,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399941,163.046
RMC-LadderRelations,6,1,20,1,2087795920,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,8,399950,124.091
RMC-LadderRelations,6,1,20,2,4027479527,1.0,0.25,0.4,0.325,1.0,5,399931,124.565
RMC-LadderRelations,6,1,20,3,3248997195,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399940,127.744
RMC-LadderRelations,6,1,20,4,149845851,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,8,399931,124.483
RMC-LadderRelations,10,1,20,1,3041133044,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399936,87.52
RMC-LadderRelations,10,1,20,2,3080307965,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399957,85.165
RMC-LadderRelations,6,1,20,5,2548412932,1.0,0.25,0.4,0.325,1.0,5,399950,125.095
RMC-LadderRelations,10,1,20,3,1544670583,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399957,88.201
RMC-LadderRelations,10,1,20,4,253359342,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399960,84.819
RMC-LadderRelations,10,1,20,5,3875162692,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399940,85.523
RMC-LadderRelations,14,1,20,1,1021354410,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399959,83.515
RMC-LadderRelations,14,1,20,2,2289296825,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399973,81.056
RMC-LadderRelations,14,1,20,3,1098493118,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399959,80.776
RMC-LadderRelations,14,1,20,4,2880851931,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399973,82.869
RMC-LadderRelations,14,1,20,5,3820371101,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399961,81.06
RMC-LadderTerminal,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399926,157.705
RMC-LadderTerminal,1,1,20,2,2220656915,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399943,167.112
