dimension,seed,representatives,total_candidates_per_condition,relation_candidates,shared_uniform_candidates,relation_clipped_candidate_fraction,relation_clipped_coordinate_fraction,uniform_distance_contrast_mean,uniform_clearance_cv,combined_clearance_cv,uniform_selected_clearance_over_sqrt_d,combined_selected_clearance_over_sqrt_d,paired_clearance_difference_over_sqrt_d,combined_selected_relation,combined_selected_on_boundary,mean_relation_edge_length_over_sqrt_d,relation_edges,uniform_propose_seconds,combined_propose_seconds
10,2,16,200,100,100,0.95,0.22,0.6403174143566271,0.1755493504522399,0.18591020946450745,0.401712053788418,0.401712053788418,0.0,0,0,0.2911756173501267,13,0.00011249998351559043,0.00024510000366717577
10,3,16,200,100,100,0.92,0.235,0.6080217471342475,0.18026510300006748,0.18265348054083227,0.40608812837114,0.3940018290893844,-0.012086299281755595,0,0,0.2871530981350042,12,0.0001328999933321029,0.00022560000070370734
10,4,16,200,100,100,0.93,0.196,0.6311513689994702,0.17506919515555064,0.17397701596991372,0.3821649360378779,0.3742306937631413,-0.007934242274736589,0,0,0.2880899618599031,12,0.00011439999798312783,0.00024729999131523073
10,5,16,200,100,100,0.97,0.236,0.6228114817999675,0.16436310762330197,0.19786843339358706,0.41156305596543097,0.3749262351916268,-0.03663682077380418,0,0,0.2844878200210088,12,0.00013349999790079892,0.00022539999918080866
10,6,16,200,100,100,0.94,0.213,0.6180160233579465,0.17375113520379631,0.19558037211479698,0.40408140344905963,0.36529875647320764,-0.038782646975851966,0,0,0.27151982977479966,11,0.0001993000041693449,0.00028780000866390765
10,7,16,200,100,100,0.93,0.238,0.6221955431964693,0.18106912339409478,0.204620860406312,0.39527274853642635,0.38812477276993024,-0.007147975766496137,0,0,0.29497202556711516,12,0.00017880002269521356,0.00024209998082369566
10,8,16,200,100,100,0.89,0.197,0.6432495030542398,0.1782127897419491,0.20456483849198898,0.39522720553830937,0.39522720553830937,0.0,0,0,0.26395799866161274,12,0.00011379999341443181,0.0002447000006213784
10,9,16,200,100,100,0.89,0.189,0.6208781416649788,0.15420234669054136,0.16138252959930474,0.3619808923347234,0.3435334074294549,-0.01844748490526855,0,0,0.2672319936644026,11,0.0001340000017080456,0.0002209000231232494
10,10,16,200,100,100,0.92,0.223,0.6238677291529263,0.18062951828703447,0.1886607575144234,0.43476065805223335,0.36414653597014235,-0.07061412208209097,0,0,0.27343421531045986,13,0.00011959997937083244,0.00027829999453388155
10,11,16,200,100,100,0.75,0.125,0.6536864378867443,0.1754251858209273,0.19246533364441007,0.37194161277131155,0.37194161277131155,0.0,0,0,0.24476030619515468,14,0.00013920001219958067,0.00025019998429343104
